Id,SalePrice
1461,115854.09458
1462,171150.25317
1463,179821.35255
1464,192628.06112
1465,209079.10195
1466,168325.41969
1467,183145.60384
1468,158305.90945
1469,214908.64471
1470,107987.75996
1471,175005.36129
1472,93532.871805
1473,94435.748907
1474,158731.51564
1475,122053.73234
1476,377632.21583
1477,248316.1347
1478,305687.87791
1479,306047.38616
1480,464752.01432
1481,308507.59559
1482,206210.12657
1483,179305.96931
1484,159543.20829
1485,169363.00998
1486,193118.09534
1487,330515.73397
1488,220495.51649
1489,204032.80879
1490,252444.844
1491,195407.79718
1492,91489.195998
1493,185931.10477
1494,291620.63049
1495,302219.91115
1496,246619.67653
1497,182562.87028
1498,161707.20975
1499,155893.26692
1500,149634.43103
1501,168908.01459
1502,144404.54267
1503,280214.33952
1504,231820.56536
1505,223952.36408
1506,200054.45384
1507,253003.79601
1508,202184.19118
1509,162153.5099
1510,140937.26907
1511,145777.00688
1512,179190.41076
1513,135851.55715
1514,179407.52322
1515,219089.50117
1516,153481.09096
1517,186050.98108
1518,139152.88084
1519,208541.15898
1520,133160.09763
1521,141143.64855
1522,169558.35366
1523,107842.37214
1524,125973.43433
1525,122406.26607
1526,84145.367959
1527,82742.944805
1528,144808.38901
1529,137294.19731
1530,202087.59196
1531,102765.53581
1532,105992.60537
1533,161295.29282
1534,127735.57399
1535,171039.20444
1536,110090.80596
1537,20933.94261
1538,156092.01956
1539,200080.79154
1540,114395.08017
1541,140484.91035
1542,168549.53497
1543,204108.65222
1544,93687.665305
1545,126911.30438
1546,130714.55857
1547,147922.32
1548,158593.50656
1549,116629.915
1550,140703.77937
1551,126481.07296
1552,130920.42618
1553,146155.85012
1554,122244.28134
1555,171955.30336
1556,10000
1557,97261.038891
1558,98929.870821
1559,76709.052889
1560,126583.55973
1561,155106.71186
1562,129421.06943
1563,115235.54717
1564,162867.62017
1565,133434.90744
1566,237957.51332
1567,58885.783493
1568,212154.5169
1569,120919.43932
1570,129486.19382
1571,124793.39749
1572,155681.25691
1573,261635.86138
1574,124163.20399
1575,238260.7547
1576,215623.34063
1577,175936.05204
1578,139495.79687
1579,139238.24424
1580,188958.58826
1581,152682.546
1582,132229.29944
1583,274903.4041
1584,215066.83727
1585,135428.38389
1586,58654.112989
1587,92678.136202
1588,178601.14425
1589,80272.704533
1590,139305.99792
1591,90640.922093
1592,122150.40346
1593,103336.56919
1594,190927.50108
1595,107186.58202
1596,235841.5799
1597,210163.52043
1598,212252.26998
1599,10000
1600,10000
1601,46072.074207
1602,111587.11638
1603,64142.819149
1604,295248.37571
1605,213107.56106
1606,158484.11687
1607,186033.47585
1608,181277.02251
1609,182860.51816
1610,138244.76629
1611,124412.22446
1612,188972.98423
1613,145384.83135
1614,143142.68382
1615,94021.107539
1616,70515.632511
1617,90735.907067
1618,117018.45304
1619,127784.90256
1620,170083.27992
1621,127515.40676
1622,144084.92519
1623,261689.50655
1624,201643.3135
1625,121786.54946
1626,172468.16203
1627,186900.53421
1628,283756.3401
1629,172395.74515
1630,373011.50529
1631,230765.41003
1632,254435.67287
1633,158623.82702
1634,182440.4195
1635,173836.85819
1636,154875.00444
1637,190632.60287
1638,189013.42941
1639,186429.2048
1640,260316.39837
1641,186834.88559
1642,260671.69229
1643,225200.28001
1644,225878.00535
1645,207446.34066
1646,155441.95666
1647,159449.28706
1648,123879.15811
1649,137262.88492
1650,100597.2286
1651,109729.67276
1652,96369.605933
1653,99824.837466
1654,149191.77129
1655,140876.59522
1656,146406.56211
1657,150397.46024
1658,146812.83491
1659,133713.49637
1660,143514.90057
1661,420500.1675
1662,388343.99109
1663,388843.94478
1664,488700.95806
1665,334878.5697
1666,335161.06755
1667,362209.67382
1668,361881.51053
1669,317960.33586
1670,363635.05764
1671,264291.88786
1672,402103.02014
1673,270626.43947
1674,235871.89448
1675,202648.44172
1676,198500.39763
1677,208076.22575
1678,461375.13548
1679,392125.09325
1680,356006.42659
1681,292543.74584
1682,322162.31617
1683,188797.8986
1684,175936.46054
1685,175234.97399
1686,164882.31758
1687,167820.57377
1688,186734.46884
1689,192511.05711
1690,189703.63254
1691,175732.1664
1692,258981.0976
1693,172763.30035
1694,175849.9912
1695,155501.40047
1696,254050.19383
1697,163012.08838
1698,344281.82014
1699,299262.05028
1700,272009.13641
1701,290062.50322
1702,243961.424
1703,232657.08037
1704,269040.38759
1705,254076.8965
1706,452743.41386
1707,244941.9472
1708,203556.53017
1709,240628.2122
1710,213956.14791
1711,261031.938
1712,259840.48942
1713,277549.33755
1714,228310.44352
1715,208452.78713
1716,180805.18549
1717,167514.99341
1718,155644.79902
1719,223843.78848
1720,241876.27708
1721,166644.90293
1722,146333.9349
1723,162081.51211
1724,205064.85397
1725,226918.97117
1726,183297.4095
1727,147075.85704
1728,174307.68151
1729,166320.2083
1730,182353.11189
1731,108614.18929
1732,116956.41315
1733,114572.16034
1734,110109.9021
1735,139414.81643
1736,110050.58425
1737,332805.03459
1738,267463.99482
1739,272441.22861
1740,213007.89272
1741,180286.35438
1742,169730.01905
1743,174928.15053
1744,355933.39642
1745,230946.21221
1746,227353.54944
1747,216075.66547
1748,229283.99805
1749,153102.0157
1750,151596.0048
1751,230497.88314
1752,117283.35745
1753,153547.64465
1754,195404.0127
1755,161827.72359
1756,116005.27388
1757,116169.59985
1758,134317.21656
1759,171815.23239
1760,147220.65367
1761,140703.10138
1762,182270.14143
1763,193483.20567
1764,103230.74888
1765,197501.94911
1766,184342.94599
1767,216001.92389
1768,148321.34478
1769,169171.41566
1770,153738.25532
1771,118011.67214
1772,140037.17196
1773,102415.14832
1774,153351.72457
1775,140054.63972
1776,111749.25623
1777,102189.35105
1778,148326.41405
1779,112065.99848
1780,175657.5032
1781,131947.29738
1782,71067.771679
1783,126381.02056
1784,82529.169562
1785,139487.38002
1786,167819.64643
1787,162483.13478
1788,41860.327844
1789,92558.911957
1790,35210.652876
1791,206600.00554
1792,167730.89389
1793,133584.5783
1794,164333.60717
1795,140407.5228
1796,142996.80738
1797,119002.58124
1798,114232.04819
1799,106790.58885
1800,113568.92724
1801,127263.45067
1802,137978.9621
1803,155579.24111
1804,138987.0245
1805,142562.51641
1806,143455.17056
1807,160891.17136
1808,115086.85761
1809,120912.37269
1810,133307.52723
1811,98697.760416
1812,109749.59464
1813,134549.57954
1814,78561.186773
1815,33497.442701
1816,97335.278892
1817,97495.582338
1818,195713.84179
1819,140460.17427
1820,41009.074053
1821,116050.04301
1822,131545.26645
1823,20315.478076
1824,146649.65903
1825,138603.13556
1826,101875.38897
1827,96423.669726
1828,150727.43527
1829,110685.60401
1830,142799.88402
1831,171512.12478
1832,108334.96595
1833,158868.21341
1834,121725.387
1835,125651.27453
1836,149011.43127
1837,83821.683486
1838,109935.49059
1839,95561.266351
1840,157100.21437
1841,162455.29477
1842,75679.158022
1843,122905.08057
1844,141420.24158
1845,141912.31234
1846,139058.66282
1847,168083.84669
1848,29087.749518
1849,116663.01064
1850,114467.97685
1851,160355.33465
1852,117982.29824
1853,122144.86258
1854,160099.99325
1855,154274.44883
1856,209356.34938
1857,152308.19711
1858,165354.22102
1859,122496.2685
1860,140737.23555
1861,121129.41424
1862,292049.59884
1863,289812.37584
1864,289833.51406
1865,367426.65189
1866,359655.586
1867,210889.62984
1868,292437.87243
1869,203939.41273
1870,212260.73266
1871,258597.89973
1872,171023.15931
1873,217593.25729
1874,157233.00547
1875,213410.60362
1876,190710.10628
1877,215695.89288
1878,189894.26864
1879,137753.14393
1880,142137.82916
1881,235366.5412
1882,241463.64452
1883,190786.50011
1884,202344.46577
1885,257618.42514
1886,309777.24762
1887,214674.4558
1888,250276.79039
1889,161323.10639
1890,121156.39556
